model,AP_5_95,AP_50,AP_75,AP_small,AP_medium,AP_large,AR_100,FPS
yolov8m,0.7773407542812418,0.9042523369045045,0.8482137653858344,0.0,0.5652866049541708,0.8380857693022583,0.8120056149428517,0.0
yolov8n,0.7442603573521196,0.8856867387319591,0.8161390457234512,0.0,0.5473140017777928,0.7959064265310802,0.7896321998685325,0.0
fasterrcnn,0.7015949542588348,0.9008155884117711,0.8299704719347812,0.2666666666666666,0.5341043362544484,0.7474073213029871,0.7530080866207454,0.0
efficientdet,0.596583021639497,0.8490004082043002,0.6858402459971049,0.2666666666666666,0.23567962360728034,0.6752825020262504,0.6561733035037844,17.009621865472322
detr,0.6750145710527078,0.8582797966602883,0.742889694854885,0.0,0.2883148450092753,0.7665009051215571,0.7451125713181922,8.317808307158542
